primaryTitle,runtimeMinutes,genres,isAdult,averageRating,numVotes,budget,domestic,world,year,oscar_nominated
metropolis,153.0,"Drama,Sci-Fi",0,8.3,198352.0,15000000.0,673414.0,1405032.0,,0
chicago,105.0,"Comedy,Crime,Drama",0,7.3,634.0,30000000.0,170687518.0,306770545.0,,0
college,66.0,"Comedy,Drama,Sport",0,6.9,5791.0,6000000.0,4694491.0,6176114.0,,0
easy virtue,80.0,"Drama,Romance,Thriller",0,5.4,3297.0,14000000.0,2656784.0,20537741.0,,0
fast and furious,60.0,"Comedy,Sport",0,5.3,60.0,85000000.0,155064265.0,359347833.0,,0
happiness,95.0,"Comedy,Drama",0,7.3,1260.0,3000000.0,2746453.0,5746453.0,,0
it,72.0,"Comedy,Romance",0,7.2,3903.0,35000000.0,328828874.0,704128874.0,,0
the king of kings,160.0,"Biography,Drama,Family",0,7.4,2614.0,25000000.0,60270106.0,79875499.0,,0
napoleon,330.0,"Biography,Drama,History",0,8.2,9621.0,200000000.0,61524375.0,217917156.0,,0
open range,60.0,"Drama,Western",0,7.2,37.0,26000000.0,58331254.0,68613992.0,,0
the ring,89.0,"Drama,Romance,Sport",0,6.1,4245.0,48000000.0,129094024.0,248218486.0,,0
underworld,80.0,"Crime,Drama,Film-Noir",0,7.5,3804.0,22000000.0,51970690.0,95708457.0,,0
wings,144.0,"Action,Drama,Romance",0,7.5,15864.0,2000000.0,0.0,0.0,1927.0,1
adoration,73.0,Drama,0,6.4,29.0,4000000.0,294244.0,384244.0,,0
the awakening,90.0,"Drama,Romance,War",0,5.2,99.0,4900000.0,95933.0,6924321.0,,0
brotherly love,67.0,Comedy,0,5.3,21.0,1900000.0,478595.0,478595.0,,0
celebrity,65.0,"Drama,Romance,Sport",0,6.1,19.0,12000000.0,5078660.0,6200000.0,,0
doomsday,60.0,"Drama,Romance",0,6.3,131.0,33000000.0,11008770.0,21621188.0,,0
dressed to kill,70.0,"Comedy,Crime",0,6.6,80.0,6500000.0,31899000.0,31899000.0,,0
the four feathers,81.0,"Adventure,Drama,History",0,6.9,384.0,35000000.0,18306166.0,29882645.0,,0
crossroads,81.0,Drama,0,7.0,503.0,12000000.0,37188667.0,57000000.0,,0
crossroads,81.0,Drama,0,7.0,503.0,500000.0,0.0,0.0,,0
moulin rouge,137.0,Drama,0,6.6,308.0,53000000.0,57386369.0,179199536.0,,0
ransom,58.0,"Action,Adventure,Crime",0,5.5,29.0,70000000.0,136492681.0,308700000.0,,0
skyscraper,68.0,Drama,0,5.6,176.0,125000000.0,68420120.0,304858121.0,,0
submarine,93.0,"Action,Adventure,Drama",0,6.3,395.0,1900000.0,467602.0,4581937.0,,0
two lovers,98.0,"Action,Drama,History",0,6.9,40.0,12000000.0,3149034.0,16349034.0,,0
waterloo,120.0,"Drama,History,War",0,6.4,56.0,25000000.0,0.0,0.0,,0
the aviator,75.0,"Comedy,Romance",0,6.0,30.0,110000000.0,102608827.0,208370892.0,,0
the bridge of san luis rey,86.0,Drama,0,6.5,112.0,24000000.0,49981.0,1696765.0,,0
